,sentence_text,e1,e2,relation_type,normalized_sentence
3102,"Since apraclonidine may reduce pulse and blood pressure, caution in using drugs such as beta-blockers (ophthalmic and systemic), antihypertensives, and cardiac glycosides is advised.",apraclonidine,cardiac glycosides,advise,"Since_bf DRUG may_be reduce_be pulse_be blood_be pressure_be ,_be caution_be using_be drugs_be beta-blockers_be (ophthalmic_be systemic)_be ,_be antihypertensives_be ,_be cardiac_be glycosides_be advised_be ._be"
3140,"The oral dexamethasone doses should be reduced by approximately 50% when coadministered with Aprepitant, to achieve exposures of dexamethasone similar to those obtained when it is given without Aprepitant.",dexamethasone,Aprepitant,advise,"The_bf oral_bf DRUG doses_be reduced_be approximately_be 50%_be coadministered_be OTHER_DRUG ,_af achieve_af exposures_af DRUG similar_af obtained_af given_af without_af OTHER_DRUG ._af"
3153,"The IV methylprednisolone dose should be reduced by approximately 25%, and the oral methylprednisolone dose should be reduced by approximately 50% when coadministered with Aprepitant to achieve exposures of methylprednisolone similar to those obtained when it is given without Aprepitant.",methylprednisolone,Aprepitant,advise,"The_bf IV_bf DRUG dose_be reduced_be approximately_be 25%_be ,_be oral_be DRUG dose_af reduced_af approximately_af 50%_af coadministered_af OTHER_DRUG achieve_af exposures_af DRUG similar_af obtained_af given_af without_af OTHER_DRUG ._af"
3156,"The IV methylprednisolone dose should be reduced by approximately 25%, and the oral methylprednisolone dose should be reduced by approximately 50% when coadministered with Aprepitant to achieve exposures of methylprednisolone similar to those obtained when it is given without Aprepitant.",methylprednisolone,Aprepitant,advise,"The_bf IV_bf DRUG dose_be reduced_be approximately_be 25%_be ,_be oral_be DRUG dose_af reduced_af approximately_af 50%_af coadministered_af OTHER_DRUG achieve_af exposures_af DRUG similar_af obtained_af given_af without_af OTHER_DRUG ._af"
3175,"In patients on chronic warfarin therapy, the prothrombin time (INR) should be closely monitored in the 2-week period, particularly at 7 to 10 days, following initiation of the 3-day regimen of Aprepitant with each chemotherapy cycle.",warfarin,Aprepitant,advise,"In_bf patients_bf chronic_bf DRUG therapy_be ,_be prothrombin_be time_be (INR)_be closely_be monitored_be 2-week_be period_be ,_be particularly_be 7_be 10_be days_be ,_be following_be initiation_be 3-day_be regimen_be OTHER_DRUG chemotherapy_af cycle_af ._af"
3208,"Although a 3-day regimen of Aprepitant given concomitantly with oral contraceptives has not been studied, alternative or back-up methods of contraception should be used.",Aprepitant,contraceptives,advise,"Although_bf 3-day_bf regimen_bf DRUG given_be concomitantly_be oral_be OTHER_DRUG studied_af ,_af alternative_af back-up_af methods_af contraception_af used_af ._af"
3222,"The potential effects of increased plasma concentrations of midazolam or other benzodiazepines metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with Aprepitant.",midazolam,Aprepitant,advise,"The_bf potential_bf effects_bf increased_bf plasma_bf concentrations_bf DRUG benzodiazepines_be metabolized_be via_be CYP3A4_be (alprazolam_be ,_be triazolam)_be considered_be coadministering_be agents_be OTHER_DRUG ._af"
3225,"The potential effects of increased plasma concentrations of midazolam or other benzodiazepines metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with Aprepitant.",benzodiazepines,Aprepitant,advise,"The_bf potential_bf effects_bf increased_bf plasma_bf concentrations_bf midazolam_bf DRUG metabolized_be via_be CYP3A4_be (alprazolam_be ,_be triazolam)_be considered_be coadministering_be agents_be OTHER_DRUG ._af"
3227,"The potential effects of increased plasma concentrations of midazolam or other benzodiazepines metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with Aprepitant.",alprazolam,Aprepitant,advise,"The_bf potential_bf effects_bf increased_bf plasma_bf concentrations_bf midazolam_bf benzodiazepines_bf metabolized_bf via_bf CYP3A4_bf (alprazolam_bf ,_bf triazolam)_bf considered_bf coadministering_bf agents_bf OTHER_DRUG ._be"
3228,"The potential effects of increased plasma concentrations of midazolam or other benzodiazepines metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with Aprepitant.",triazolam,Aprepitant,advise,"The_bf potential_bf effects_bf increased_bf plasma_bf concentrations_bf midazolam_bf benzodiazepines_bf metabolized_bf via_bf CYP3A4_bf (alprazolam_bf ,_bf triazolam)_bf considered_bf coadministering_bf agents_bf OTHER_DRUG ._be"
3242,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,ketoconazole,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be OTHER_DRUG ,_af itraconazole_af ,_af nefazodone_af ,_af troleandomycin_af ,_af clarithromycin_af ,_af ritonavir_af ,_af nelfinavir)_af approached_af caution_af ._af"
3243,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,itraconazole,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be OTHER_DRUG ,_af nefazodone_af ,_af troleandomycin_af ,_af clarithromycin_af ,_af ritonavir_af ,_af nelfinavir)_af approached_af caution_af ._af"
3244,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,nefazodone,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be itraconazole_be ,_be OTHER_DRUG ,_af troleandomycin_af ,_af clarithromycin_af ,_af ritonavir_af ,_af nelfinavir)_af approached_af caution_af ._af"
3245,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,troleandomycin,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be itraconazole_be ,_be nefazodone_be ,_be OTHER_DRUG ,_af clarithromycin_af ,_af ritonavir_af ,_af nelfinavir)_af approached_af caution_af ._af"
3246,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,clarithromycin,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be itraconazole_be ,_be nefazodone_be ,_be troleandomycin_be ,_be OTHER_DRUG ,_af ritonavir_af ,_af nelfinavir)_af approached_af caution_af ._af"
3247,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,ritonavir,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be itraconazole_be ,_be nefazodone_be ,_be troleandomycin_be ,_be clarithromycin_be ,_be OTHER_DRUG ,_af nelfinavir)_af approached_af caution_af ._af"
3248,"Consequently, concomitant administration of Aprepitant with strong CYP3A4 inhibitors (e.g., ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, nelfinavir) should be approached with caution.",Aprepitant,nelfinavir,advise,"Consequently_bf ,_bf concomitant_bf administration_bf DRUG strong_be CYP3A4_be inhibitors_be (e_be ._be g_be ._be ,_be ketoconazole_be ,_be itraconazole_be ,_be nefazodone_be ,_be troleandomycin_be ,_be clarithromycin_be ,_be ritonavir_be ,_be nelfinavir)_be approached_be caution_be ._be"
3270,"Because moderate CYP3A4 inhibitors (e.g., diltiazem) result in 2-fold increase in plasma concentrations of aprepitant, concomitant administration should also be approached with caution.",diltiazem,aprepitant,advise,"Because_bf moderate_bf CYP3A4_bf inhibitors_bf (e_bf ._bf g_bf ._bf ,_bf diltiazem)_bf result_bf 2-fold_bf increase_bf plasma_bf concentrations_bf OTHER_DRUG ,_be concomitant_be administration_be also_be approached_be caution_be ._be"
3377,"Drug-Drug Interactions Given the primary CNS effects of aripiprazole, caution should be used when ABILIFY is taken in combination with other centrally acting drugs and alcohol.",ABILIFY,centrally acting drugs,advise,"Drug-Drug_bf Interactions_bf Given_bf primary_bf CNS_bf effects_bf aripiprazole_bf ,_bf caution_bf used_bf DRUG taken_be combination_be centrally_be acting_be drugs_be alcohol_be ._be"
3378,"Drug-Drug Interactions Given the primary CNS effects of aripiprazole, caution should be used when ABILIFY is taken in combination with other centrally acting drugs and alcohol.",ABILIFY,alcohol,advise,"Drug-Drug_bf Interactions_bf Given_bf primary_bf CNS_bf effects_bf aripiprazole_bf ,_bf caution_bf used_bf DRUG taken_be combination_be centrally_be acting_be drugs_be OTHER_DRUG ._af"
3399,"When concomitant administration of ketoconazole with aripiprazole occurs, aripiprazole dose should be reduced to one-half of its normal dose.",ketoconazole,aripiprazole,advise,"When_bf concomitant_bf administration_bf DRUG OTHER_DRUG occurs_af ,_af OTHER_DRUG dose_af reduced_af one-half_af normal_af dose_af ._af"
3414,Aripiprazole dose should be reduced to one-half of its normal dose when concomitant administration of quinidine with aripiprazole occurs.,quinidine,aripiprazole,advise,OTHER_DRUG dose_be reduced_be one-half_be normal_be dose_be concomitant_be administration_be DRUG OTHER_DRUG occurs_af ._af
3426,"When carbamazepine is added to aripiprazole therapy, aripiprazole dose should be doubled.",carbamazepine,aripiprazole,advise,"When_bf DRUG added_be OTHER_DRUG therapy_af ,_af OTHER_DRUG dose_af doubled_af ._af"
3429,"When carbamazepine is withdrawn from the combination therapy, aripiprazole dose should then be reduced.",carbamazepine,aripiprazole,advise,"When_bf DRUG withdrawn_be combination_be therapy_be ,_be OTHER_DRUG dose_af reduced_af ._af"
3459,"As with most psychoactive medications, patients should be advised to avoid alcohol while taking ABILIFY",alcohol,ABILIFY,advise,"As_bf psychoactive_bf medications_bf ,_bf patients_bf advised_bf avoid_bf DRUG taking_be OTHER_DRUG"
3460,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,antiarrhythmics,advise,Caution_bf advised_bf DRUG coadministered_be medications_be prolong_be QT_be interval_be (e_be ._be g_be ._be certain_be OTHER_DRUG thioridazine)_af lead_af electrolyte_af abnormalities_af (such_af diuretics_af amphotericin_af B)_af ._af
3461,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,thioridazine,advise,Caution_bf advised_bf DRUG coadministered_be medications_be prolong_be QT_be interval_be (e_be ._be g_be ._be certain_be antiarrhythmics_be thioridazine)_be lead_be electrolyte_be abnormalities_be (such_be diuretics_be amphotericin_be B)_be ._be
3462,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,diuretics,advise,Caution_bf advised_bf DRUG coadministered_be medications_be prolong_be QT_be interval_be (e_be ._be g_be ._be certain_be antiarrhythmics_be thioridazine)_be lead_be electrolyte_be abnormalities_be (such_be OTHER_DRUG amphotericin_af B)_af ._af
3463,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,amphotericin B,advise,Caution_bf advised_bf DRUG coadministered_be medications_be prolong_be QT_be interval_be (e_be ._be g_be ._be certain_be antiarrhythmics_be thioridazine)_be lead_be electrolyte_be abnormalities_be (such_be diuretics_be amphotericin_be B)_be ._be
